Anywhere really really warm. It's too cold here!,hot,heat,
I want to go somewhere that has music with violins in it.,any,musical instrument,
Somewhere with poppies and roses. ,any,flower,
My wife divorced me. She always wanted to go to Denmark. Now I'm going there myself.,denmark,divorce,
Japan. They have really nice washrooms.,japan,washroom,
Somewhere with fresh fruits and vegetables,any,vegetable,
I'm BIG into fishing. Send me somewhere with lots of fish.,any,fish,
Australia!,australia,,
Somewhere warm for the holidays.,hot,heat,holiday
Somewhere nice please.,hot,,
Somewhere with lots of spicy food.,any,,
A cruise.,any,,
A cruise where I can bring my fishing rod and fish on the cruise ship.,any,fish,
Somewhere where I can see a boxing match.,any,combat sport,
Germany! It's where J.S. Bach lived. And Beethoven!,germany,musician,
We're going to go to Taylor Swift's concert when she's in London.,london,famous musician,
South Korea please. I want to try some of the snack food.,korea,snack food,
I'm going to Ireland for saint Patrick's day,ireland,holiday,
North Macedonia. I really love their flag!,macedonia,flag,
Somewhere I can get aged cheese... those sniffing airport dogs always catch me though.,any,smelly luggage,
NOT Chile my mother died there when she travelled in '82.,any,death,
I've always been fascinated with the idea of a Japanese tea ceremony...,japan,ritual,
Turkey. My uncle was born there and he has very long hair.,turkey,hairy relative,
Somewhere with a gym! I can't go a day without my exercise routine... lift heavy!,any,weight lifting,
I heard I need to take a course of travel medicine before going to areas where cholera is endemic.,any,bacteria,
What's the country where the leader's wife bought too many shoes?,any,world leader,
I want to go somewhere hot my family always wants to go skiing and we end up fighting.,hot,family argument,
I've been reading the Odyssey in the original Greek do you think I could see a real siren anywhere?,any,mythological creature,
I've already picked out the chicest hotel in Paris at 8972 Avenue des Champs-Élysées.,paris,8972,
I'm a huge finance nerd I'd love to see the New York Stock Exchange.,us,stock market,
The clubs of Berlin are calling me... all night electronic dance parties.,germany,electronic,
It's been 17 years since my last vacation you tell me!,any,17,
